"name","type","description","domain","primary_key","characteristics","observation"
"PA_CNSMED","CHAR (15)","Número do CNS (Cartão Nacional de Saúde) do profissional de saúde executante","","","",""
"PA_CBOCOD","CHAR (6)","Código da Ocupação do profissional na Classificação Brasileira de Ocupações (Ministério do Trabalho)","","","",""
"PA_MOTSAI","CHAR (2)""","Motivo de saída ou zeros, caso não tenha","","","",""
"PA_OBITO","CHAR (1)","Indicador de Óbito (APAC)","","","",""
"PA_ENCERR","CHAR (1)","Indicador de Encerramento (APAC)","","","",""
"PA_PERMAN","CHAR (1)","Indicador de Permanência (APAC)","","","",""
"PA_ALTA","CHAR (1)","Indicador de Alta (APAC)","","","",""
"PA_TRANSF","CHAR (1)","Indicador de Transferência (APAC)","","","",""
"PA_CIDPRI","CHAR (4)","CID9 Principal (APAC ou BPA-I)","","","",""
"PA_CIDSEC","CHAR (4)","CID Secundário (APAC)","","","",""
"PA_CIDCAS","CHAR (4)","CID Causas Associadas (APAC)","","","",""
"PA_CATEND","CHAR (2)","Caráter de Atendimento (APAC ou BPA-I)","","","",""
"PA_IDADE","CHAR (3)","Idade do paciente em anos","","","",""
"IDADEMIN","CHAR (3)","Idade mínima do paciente para realização do procedimento","","","",""
"IDADEMAX","CHAR (3)","Idade máxima do paciente para realização do procedimento","","","",""
"PA_FLIDADE","CHAR (1)","Compatibilidade com a faixa de idade do procedimento (SIGTAP – Sistema de Gerenciamento da Tabela de Procedimentos do SUS)","0 = Idade não exigida; 1 = Idade compatível com o SIGTAP; 2 = Idade fora da faixa do SIGTAP; 3 = Idade inexistente; 4 = Idade EM BRANCO","","",""
"PA_SEXO","CHAR (1)","Sexo do paciente","","","",""
"PA_RACACOR","CHAR (2)","Raça/Cor do paciente","01 - Branca,02 - Preta, 03 - Parda, 04 - Amarela, 05 - Indígena, 99 - Sem informação","","",""
"PA_MUNPCN","CHAR (6)","Código da Unidade da Federação + Código do Município de residência do paciente ou do estabelecimento, caso não se tenha a identificação do paciente, o que ocorre no (BPA)","","","",""
"PA_QTDPRO","NUMERIC (11)","Quantidade Produzida (APRESENTADA)","","","",""
"PA_QTDAPR","NUMERIC (11)","Quantidade Aprovada do procedimento","","","",""
"PA_VALPRO","NUMERIC (20, 2)","Valor Produzido (APRESENTADO)","","","",""
"PA_VALAPR","NUMERIC (20, 2)","Valor Aprovado do procedimento","","","",""
"PA_UFDIF","CHAR (1)","Indica se a UF de residência do paciente é diferente da UF de localização do estabelecimento: 0 = mesma UF; 1 = UF diferente","","","",""
"PA_MNDIF","CHAR (1)","Indica se o município de residência do paciente é diferente do município de localização do estabelecimento: 0 = mesmo município; 1 = município diferente","","","",""
"PA_DIF_VAL","NUMERIC (20,2)","Diferença do Valor Unitário do procedimento praticado na Tabela Unificada com Valor Unitário praticadopelo Gestor da Produção,multiplicado pela Quantidade Aprovada","","","",""
"NU_VPA_TOT","NUMERIC (20,2)","Valor Unitário do Procedimento da Tabela VPA","","","",""
"NU_PA_TOT","NUMERIC (20,2)","Valor Unitário do Procedimento da Tabela SIGTAP","","","",""
"PA_INDICA","CHAR (1)","Indicativo de situação da produção produzida","0 = não aprovado; 5 = aprovado total; 6 = aprovado parcial","","",""
"PA_CODOCO","CHAR (1)","Código de Ocorrência","","","",""
"PA_FLQT","CHAR (1)","Indicador de erro de Quantidade Produzida","","","",""
"PA_FLER","CHAR (1)","Indicador de erro de corpo da APAC","","","",""
"PA_ETNIA","CHAR (4)","Etnia do paciente","","","",""
"PA_VL_CF","NUMERIC (20,2)","Valor do Complemento Federal","","","",""
"PA_VL_CL","NUMERIC (20,2)","Valor do Complemento Local","","","",""
"PA_VL_INC","NUMERIC (20,2)","Valor do Incremento","","","",""
"PA_SRC_C","CHAR(6)","Código do Serviço Especializado / Classificação CBO (de acordo com o CNES)","","","",""
"PA_INE","CHAR(10)","Código de Identificação Nacional de Equipes10, para registrar a atuação das equipes na execução de ações desaúde","","","",""
"PA_SRV_C","","","","","","Não documentado pela documentação do SIA, ou coluna antiga que foi renomeada."
"PA_NUMAPA","","","","","","Não documentado pela documentação do SIA, ou coluna antiga que foi renomeada."
"PA_TIPPRO","","","","","","Não documentado pela documentação do SIA, ou coluna antiga que foi renomeada."
"PA_MORFOL","","","","","","Não documentado pela documentação do SIA, ou coluna antiga que foi renomeada."
"PA_CODESP","","","","","","Não documentado pela documentação do SIA, ou coluna antiga que foi renomeada."
"PA_FXETAR","","","","","","Não documentado pela documentação do SIA, ou coluna antiga que foi renomeada."
"PA_MUNAT","","","","","","Não documentado pela documentação do SIA, ou coluna antiga que foi renomeada."
"PA_RCB","","","","","","Não documentado pela documentação do SIA, ou coluna antiga que foi renomeada."
"PA_TIPATE","","","","","","Não documentado pela documentação do SIA, ou coluna antiga que foi renomeada."
"PA_DATPR","","","","","","Não documentado pela documentação do SIA, ou coluna antiga que foi renomeada."
"PA_DATREF","","","","","","Não documentado pela documentação do SIA, ou coluna antiga que foi renomeada."
"PA_RCBDF","","","","","","Não documentado pela documentação do SIA, ou coluna antiga que foi renomeada."
"PA_NH","","","","","","Não documentado pela documentação do SIA, ou coluna antiga que foi renomeada."
"PA_CODPRO","","","","","","Não documentado pela documentação do SIA, ou coluna antiga que foi renomeada."
"PA_NAT_JUR","","","","","","Não documentado pela documentação do SIA, ou coluna antiga que foi renomeada."
