"name","type","description","domain","primary_key","characteristics","observation"
"RUBRICA","numeric(5)","Zerado","","","",""
"IND_VDRL","char (1)","Indica exame VDRL.","","","",""
"MUNIC_MOV","char (6)","Município do Estabelecimento.","","","",""
"COD_IDADE","char (1)","Unidade de medida da idade.","","","",""
"IDADE","numeric(2)","Idade.","","","",""
"DIAS_PERM","numeric(5)","Dias de Permanência.","","","",""
"MORTE","numeric(1)","Indica Óbito","","","",""
"NACIONAL","char (2)","Código da nacionalidade do paciente.","","","",""
"NUM_PROC","char (4)","Zerado","","","",""
"CAR_INT","char (2)","Caráter da internação","","","",""
"TOT_PT_SP","numeric(6)","Zerado","","","",""
"CPF_AUT","char (11)","Zerado","","","",""
"HOMONIMO","char (1)","Indicador se o paciente da AIH é homônimo do paciente de outra AIH.","","","",""
"NUM_FILHOS","numeric(2)","Número de filhos do paciente.","","","",""
"INSTRU","char (1)","Grau de instrução do paciente.","","","",""
"CID_NOTIF","char (4)","CID de Notificação.","","","",""
"CONTRACEP1","char (2)","Tipo de contraceptivo utilizado.","","","",""
"CONTRACEP2","char (2)","Segundo tipo de contraceptivo utilizado.","","","",""
"GESTRISCO","char (1)","Indicador se é gestante de risco.","","","",""
"INSC_PN","char (12)","Número da gestante no pré-natal.","","","",""
"SEQ_AIH5","char (3)","Sequencial de longa permanência (AIH tipo 5).","","","",""
"CBOR","char (3)","Ocupação do paciente, segundo a Classificação Brasileira de Ocupações – CBO.","","","",""
"CNAER","char (3)","Código de acidente de trabalho.","","","",""
"VINCPREV","char (1)","Vínculo com a Previdência.","","","",""
"GESTOR_COD","char (3)","Motivo de autorização da AIH pelo Gestor.","","","",""
"GESTOR_TP","char (1)","Tipo de gestor.","","","",""
"GESTOR_CPF","char (11)","Número do CPF do Gestor.","","","",""
"GESTOR_DT","char (8)","Data da autorização dada pelo Gestor (aaaammdd).","","","",""
"CNES","char (7)","Código CNES do hospital.","","","",""
"CNPJ_MANT","char (14)","CNPJ da mantenedora.","","","",""
"INFEHOSP","char (1)","Status de infecção hospitalar.","","","",""
"CID_ASSO","char (4)","CID causa.","","","",""
"CID_MORTE","char (4)","CID da morte.","","","",""
"COMPLEX","char (2)","Complexidade.","","","",""
"FINANC","char (2)","Tipo de financiamento.","","","",""
"FAEC_TP","char (6)","Subtipo de financiamento FAEC.","","","",""
"REGCT","char (4)","Regra contratual.","","","",""
"RACA_COR","char (4)","Raça/Cor do paciente.","","","",""
"ETNIA","char (4)","Etnia do paciente, se raça cor for indígena.","","","",""
"SEQUENCIA","numeric(9)","Sequencial da AIH na remessa.","","","",""
"REMESSA","char (21)","Número da remessa.","","","",""
"AUD_JUST","char (50"")","Justificativa do auditor para aceitação da AIH sem o número do Cartão Nacional de Saúde.""","","","",""
"SIS_JUST","char (50"")","Justificativa do estabelecimento para aceitação da AIH sem o número do Cartão Nacional de Saúde.""","","","",""
"VAL_SH_FED","numeric (10, 2)","Valor do complemento federal de serviços hospitalares. Está incluído no valor total da AIH.","","","",""
"VAL_SP_FED","numeric (10, 2)","Valor do complemento federal de serviços profissionais. Está incluído no valor total da AIH.","","","",""
"VAL_SH_GES","numeric (10, 2)","Valor do complemento do gestor (estadual ou municipal) de serviços hospitalares. Está incluído no valor total da AIH.","","","",""
"VAL_SP_GES","numeric (10, 2)","Valor do complemento do gestor (estadual ou municipal) deserviços profissionais. Está incluído no valor total da AIH.","","","",""
"VAL_UCI","numeric (10, 2)","Valor de UCI.","","","",""
"MARCA_UCI","char (2)","Tipo de UCI utilizada pelo paciente.","","","",""
"DIAGSEC1","char (4)","Diagnóstico secundário1.","","","",""
"DIAGSEC2","char (4)","Diagnóstico secundário 2.","","","",""
"DIAGSEC3","char (4)","Diagnóstico secundário 3.","","","",""
"DIAGSEC4","char (4)","Diagnóstico secundário 4.","","","",""
"DIAGSEC5","char (4)","Diagnóstico secundário 5.","","","",""
"DIAGSEC6","char (4)","Diagnóstico secundário 6.","","","",""
"DIAGSEC7","char (4)","Diagnóstico secundário 7.","","","",""
"DIAGSEC8","char (4)","Diagnóstico secundário 8.","","","",""
"DIAGSEC9","char (4)","Diagnóstico secundário 9.","","","",""
"TPDISEC1","char (1)","Tipo de diagnóstico secundário 1.","","","",""
"TPDISEC2","char (1)","Tipo de diagnóstico secundário 2.","","","",""
"TPDISEC3","char (1)","Tipo de diagnóstico secundário 3.","","","",""
"TPDISEC4","char (1)","Tipo de diagnóstico secundário 4.","","","",""
"TPDISEC5","char (1)","Tipo de diagnóstico secundário 5.","","","",""
"TPDISEC6","char (1)","Tipo de diagnóstico secundário 6.","","","",""
"TPDISEC7","char (1)","Tipo de diagnóstico secundário 7.","","","",""
"TPDISEC8","char (1)","Tipo de diagnóstico secundário 8.","","","",""
"TPDISEC9","char (1)","Tipo de diagnóstico secundário","","","",""
"VAL_SANG","","","","",""
"DIAG_SEC","","","","",""
"US_RN","","","","",""
"GESTAO","","","","",""
"DT_INTER","","","","",""
"CGC_MANT","","","","",""
"UTI_TOTAL","","","","",""
"SEMIPLEN","","","","",""
"US_SADT","","","","",""
"CONT","","","","",""
"COD_SEG","","","","",""
"US_SP","","","","",""
"US_ORTP","","","","",""
"US_SANGUE","","","","",""
"COD_ARQ","","","","",""
"US_SH","","","","",""
"MES_CMPT","","","","",""
